theme,sub_theme,feature_name,co_ordinates,,,,,,
Leisure/Recreation,Informal Outdoor Facility (Park/Garden/Reserve),Piazza Italia,"-37.8025164192523, 144.965863092947",,,,,,
Leisure/Recreation,Informal Outdoor Facility (Park/Garden/Reserve),Murchinson Square,"-37.8002735025371, 144.973059252203",,,,,,
Purpose Built,Aquarium,Melbourne Aquarium,"-37.8209627824685, 144.958425696055",,,,,,
Place Of Assembly,Theatre Live,FairFax Studio,"-37.8216684581887, 144.968836241692",,,,,,
Leisure/Recreation,Informal Outdoor Facility (Park/Garden/Reserve),Powlett Reserve,"-37.8116929882498, 144.987275671763",,,,,,
Place Of Assembly,Theatre Live,State Theatre,"-37.8212806349773, 144.968469643744",,,,,,
Place Of Assembly,Theatre Live,St Martins Youth Arts Centre,"-37.8352429531289, 144.98114217385",,,,,,
Place Of Assembly,Theatre Live,Comedy Theatre,"-37.8102053945163, 144.97013311862",,,,,,
Place Of Assembly,Theatre Live,La Mama Theatre,"-37.7991304956733, 144.967669503083",,,,,,
Place Of Assembly,Theatre Live,Forum Theatre,"-37.816485409696, 144.969386556998",,,,,,
Place Of Assembly,Art Gallery/Museum,Sinclair's Cottage,"-37.8145407488014, 144.980554992725",,,,,,
Leisure/Recreation,Major Sports & Recreation Facility,Etihad Stadium,"-37.8161760471742, 144.947496254547",,,,,,
Leisure/Recreation,Informal Outdoor Facility (Park/Garden/Reserve),Lincoln Square,"-37.8027919689732, 144.962760852233",,,,,,
Leisure/Recreation,Informal Outdoor Facility (Park/Garden/Reserve),Carlton Gardens North,"-37.8017690847403, 144.971997551189",,,,,,
Leisure/Recreation,"Outdoor Recreation Facility (Zoo, Golf Course)",Wonderland Park,"-37.8116945351989, 144.936833674975",,,,,,
Leisure/Recreation,Informal Outdoor Facility (Park/Garden/Reserve),Fawkner Park,"-37.8413996708186, 144.981625667877",,,,,,
Leisure/Recreation,Informal Outdoor Facility (Park/Garden/Reserve),Enterprize Park,"-37.820210269629, 144.959276859602",,,,,,
Leisure/Recreation,Major Sports & Recreation Facility,City Baths,"-37.8071585350561, 144.963189789721",,,,,,
Leisure/Recreation,Informal Outdoor Facility (Park/Garden/Reserve),Carlton Gardens South,"-37.8060684577258, 144.971266479841",,,,,,
Leisure/Recreation,Major Sports & Recreation Facility,Visy Park,"-37.7834303940347, 144.961982577553",,,,,,
Leisure/Recreation,Informal Outdoor Facility (Park/Garden/Reserve),Batman Park,"-37.8218460949601, 144.956665812218",,,,,,
Place Of Assembly,Art Gallery/Museum,Polly Woodside,"-37.8242574266145, 144.953478052064",,,,,,
Place Of Assembly,Art Gallery/Museum,The Ian Potter Centre: NGV Australia,"-37.8174831423197, 144.969899048343",,,,,,
Leisure/Recreation,Major Sports & Recreation Facility,AAMI Park,"-37.8247252673963, 144.98380297866",,,,,,
Leisure/Recreation,Major Sports & Recreation Facility,Margaret Court Arena,"-37.8213252086842, 144.977591098955",,,,,,
Leisure/Recreation,Informal Outdoor Facility (Park/Garden/Reserve),Riverslide Skate Park,"-37.8207887122448, 144.972951789291",,,,,,
Leisure/Recreation,Informal Outdoor Facility (Park/Garden/Reserve),Royal Park,"-37.7906174256581, 144.953834240647",,,,,,
Leisure/Recreation,Informal Outdoor Facility (Park/Garden/Reserve),Yarra Park,"-37.820469374101, 144.986671109615",,,,,,
Place Of Assembly,Art Gallery/Museum,Victoria Police Museum,"-37.8222182774409, 144.954039975197",,,,,,
Place Of Assembly,Art Gallery/Museum,Australian Centre For The Moving Image (ACMI),"-37.8176107327202, 144.969070431323",,,,,,
